City,County,Employees,FTemployees,MedianPay,MedianPayBenes,TotalComp,CompCostPerResident,MedianPrivatePay,black,indian,asian,islander,mixed,latino,white,blackLatInd,foreign,homeownerRate,nonenglish,hsgrad,bachelors,noninsured,povertyRate,medianHome,medianMortgage,medianNonMort,medianRent,retail,medianIncome,perCapIncome,householdSize,commuteTime,popdensity,population
Elk Grove,Sacramento,355,273,94413,119461,38845006,237,52428,0.103,0.007,0.272,0.011,0.084,0.178,0.346,0.288,0.229,0.721,0.338,0.904,0.362,0.066,0.097,317500,1992,572,1489,11468,83141,31928,3.22,30.9,4023.29936,169743
El Monte,Los Angeles,508,244,91197,164617,47895564,414,25718,0.005,0.005,0.284,0.003,0.014,0.648,0.041,0.658,0.492,0.393,0.842,0.584,0.114,0.255,0.238,374900,1825,405,1118,14567,40654,15597,3.8,31.3,12113.70293,115807
El Segundo,Los Angeles,529,217,104509,132767,43299277,2561,82622,0.017,0.005,0.072,0.004,0.077,0.177,0.649,0.199,0.126,0.439,0.196,0.955,0.515,0.073,0.082,828300,3155,535,1638,91363,91623,47749,2.53,23.8,3093.956044,16893
Emeryville,Alameda,290,120,97446,122644,18923707,1703,76152,0.144,0.014,0.244,0.004,0.078,0.108,0.408,0.266,0.276,0.366,0.331,0.963,0.678,0.084,0.121,396900,2245,682,1749,65798,74295,56614,1.77,30,9336.8,11671
Encinitas,San Diego,403,219,89390,120176,30783329,495,72971,0.007,0.002,0.053,0.001,0.022,0.126,0.789,0.135,0.129,0.639,0.164,0.947,0.606,0.095,0.074,820400,2959,635,1791,18358,100698,52807,2.61,25.2,3356.246677,63131
Escalon,San Joaquin,23,62993,82327,2260678,NA,NA,NA,0,0.002,0.011,0.001,0.053,0.282,0.652,0.284,0.101,0.662,0.162,0.875,0.159,0.078,0.118,256800,1791,392,1228,8732,65258,28148,2.81,25.8,3270.434783,7522
Escondido,San Diego,1195,693,83209,117505,99592270,664,35763,0.025,0.01,0.066,0.002,0.035,0.486,0.375,0.521,0.291,0.489,0.482,0.745,0.226,0.218,0.177,368500,2082,510,1237,18878,54268,23397,3.27,27.1,4118.799239,151613
Eureka,Humboldt,462,186,55468,77577,18334422,679,28659,0.018,0.028,0.058,0,0.073,0.101,0.722,0.147,0.066,0.457,0.13,0.871,0.257,0.185,0.234,241700,1454,343,844,36027,39063,22645,2.35,12.4,2902.558635,27226
Exeter,Tulare,87,31,61484,73153,3097251,294,31677,0.011,0.016,0.01,0.002,0.034,0.429,0.499,0.456,0.117,0.608,0.282,0.784,0.151,0.116,0.253,175000,1225,332,857,6225,42590,21394,3.04,20.5,4270.731707,10506
Fairfax,Marin,51,28,73638,94257,3431887,451,82178,0.007,0.004,0.028,0,0.045,0.06,0.856,0.071,0.087,0.672,0.101,0.97,0.601,0.06,0.064,733800,2938,719,1690,6007,99438,58595,2.3,31.9,3453.636364,7598
Fairfield,Solano,913,460,96683,133797,74982445,675,47677,0.139,0.005,0.161,0.012,0.071,0.293,0.32,0.437,0.224,0.558,0.357,0.853,0.252,0.102,0.121,305400,2001,467,1359,12988,69396,29080,3.09,30.3,3069.162878,114756
Farmersville,Tulare,35,31,67205,85874,3003779,280,25780,0.022,0.012,0.001,0,0.007,0.847,0.112,0.881,0.267,0.661,0.753,0.55,0.028,0.204,0.294,124400,922,285,730,1994,33689,11621,4.07,24.4,4750,10735
Fillmore,Ventura,137,25,63090,75630,3013146,195,34602,0.001,0.008,0.008,0.002,0.029,0.762,0.191,0.771,0.283,0.685,0.622,0.646,0.115,0.144,0.192,320600,2061,393,1192,5990,55512,20069,3.52,30.3,4645.833333,15610
Firebaugh,Fresno,47,30,50341,71366,2494717,305,26629,0,0.008,0,0,0.014,0.916,0.063,0.924,0.383,0.472,0.801,0.469,0.053,0.192,0.368,122400,1232,365,676,3438,36181,13381,3.79,22.7,2402.023121,8311
Folsom,Sacramento,847,373,85736,124920,57331979,764,83723,0.045,0.005,0.154,0.004,0.053,0.108,0.631,0.158,0.159,0.69,0.205,0.925,0.483,0.041,0.047,433300,2304,611,1465,22342,102692,41732,2.61,24.8,3520.318907,77271
Fontana,San Bernardino,1463,498,88312,116925,77815507,379,36778,0.09,0.009,0.06,0.006,0.038,0.657,0.14,0.756,0.286,0.636,0.588,0.733,0.161,0.187,0.151,289400,1865,446,1167,10629,65995,20265,3.99,32.8,4941.432948,209665
Fort Bragg,Mendocino,73,53,64152,83742,5202564,716,32679,0.007,0.019,0.01,0.004,0.031,0.335,0.595,0.361,0.205,0.359,0.337,0.822,0.205,0.159,0.22,294900,1779,413,985,22327,37250,20514,2.51,12.8,2649.818182,7287
Fortuna,Humboldt,138,60,48875,71868,5689052,477,31777,0.003,0.028,0.013,0.002,0.047,0.186,0.721,0.217,0.1,0.549,0.153,0.855,0.154,0.164,0.163,244000,1463,387,902,13721,44904,20620,2.65,21,2499.381443,12122
Foster City,San Mateo,311,159,113327,152593,30522429,925,109116,0.018,0.002,0.467,0.001,0.054,0.045,0.414,0.065,0.438,0.577,0.509,0.961,0.694,0.023,0.043,949900,3190,740,2535,9494,129733,60812,2.54,30.3,9089.095745,34175
Fountain Valley,Orange,307,201,101973,129326,29168217,514,57555,0.007,0.003,0.329,0.003,0.045,0.158,0.455,0.168,0.31,0.696,0.41,0.905,0.422,0.096,0.085,626600,2485,511,1778,22998,84763,35713,2.98,27.8,6267.073171,56529
Fowler,Fresno,58,0,NA,NA,1915691,314,32161,0.004,0.003,0.116,0,0.029,0.683,0.165,0.69,0.181,0.538,0.493,0.711,0.134,0.124,0.239,201000,1519,420,871,7518,47572,18305,3.41,20.8,2509.090909,6348
Fremont,Alameda,1588,797,116202,165981,154239334,676,83043,0.031,0.005,0.549,0.009,0.057,0.131,0.219,0.167,0.464,0.616,0.592,0.93,0.54,0.055,0.053,702800,2763,593,1868,11793,111613,43875,3.1,32.8,3009.759876,233136
Fresno,Fresno,4255,3012,65413,85797,306710212,596,34127,0.078,0.011,0.13,0.002,0.043,0.47,0.267,0.559,0.207,0.465,0.428,0.753,0.205,0.154,0.3,187500,1454,414,901,11782,41842,20141,3.08,21.6,4662.852805,522053
Fullerton,Orange,984,532,79693,113694,81912598,587,45319,0.024,0.003,0.243,0.003,0.047,0.349,0.331,0.376,0.316,0.517,0.475,0.867,0.395,0.156,0.153,551300,2491,513,1397,10943,67110,30911,3.02,29.3,6296.241611,140721
Galt,Sacramento,380,110,67302,96444,14222912,572,41542,0.016,0.014,0.043,0.003,0.062,0.43,0.431,0.46,0.186,0.704,0.343,0.821,0.168,0.14,0.177,239000,1683,447,1098,7893,63681,24639,3.26,31.9,4322.596965,25633
Gardena,Los Angeles,589,341,72450,95359,42777008,714,37039,0.244,0.003,0.247,0.009,0.037,0.366,0.094,0.613,0.334,0.506,0.516,0.82,0.241,0.179,0.15,372500,2060,385,1180,12674,50137,24115,2.86,27.1,10299.82847,60048
Garden Grove,Orange,872,557,95734,130271,89009127,509,36590,0.01,0.006,0.388,0.003,0.023,0.364,0.206,0.38,0.443,0.538,0.666,0.74,0.198,0.163,0.162,445700,2069,444,1377,9497,60522,22035,3.62,27,9746.822742,174858
Gilroy,Santa Clara,463,212,114307,158383,37699929,717,50538,0.016,0.008,0.06,0,0.039,0.586,0.291,0.61,0.254,0.575,0.459,0.78,0.256,0.114,0.13,528700,2692,551,1521,23527,84351,30763,3.38,32.9,3409.845201,55069
Glendale,Los Angeles,1292,634,79771,104343,88939911,449,49313,0.016,0.003,0.161,0.001,0.036,0.181,0.603,0.2,0.544,0.345,0.696,0.851,0.39,0.152,0.147,639700,2716,615,1355,16137,56069,31541,2.72,27.7,6595.43514,200831
Glendora,Los Angeles,345,181,74828,93247,23311881,454,54991,0.023,0.003,0.101,0.001,0.048,0.303,0.522,0.329,0.175,0.694,0.276,0.903,0.332,0.095,0.094,481800,2333,516,1466,13569,78448,33967,3,32.2,2674.110366,51851
Goleta,Santa Barbara,84,41,117230,134238,6710416,218,50759,0.017,0.008,0.085,0.001,0.046,0.375,0.468,0.4,0.225,0.541,0.363,0.885,0.417,0.081,0.084,650200,2543,523,1708,24025,81398,36215,2.76,16.2,3905.063291,30850
Gonzales,Monterey,107,27,59430,81447,3708177,441,33220,0.005,0.007,0.015,0,0.004,0.924,0.045,0.936,0.341,0.486,0.761,0.527,0.084,0.175,0.234,253700,1636,326,1179,2541,52940,15321,4.23,22.8,4406.25,8460
Grand Terrace,San Bernardino,70,12,57443,67444,1883256,151,43521,0.061,0.007,0.054,0,0.055,0.453,0.37,0.521,0.155,0.61,0.288,0.894,0.292,0.109,0.09,249700,1744,410,1280,5392,64188,28024,2.79,24,3574,12509
Grass Valley,Nevada,116,64,80289,120023,9142102,710,34821,0.001,0.03,0.01,0,0.024,0.117,0.817,0.148,0.079,0.411,0.097,0.896,0.246,0.154,0.255,254400,1459,425,961,43353,35524,25402,2.08,15.8,2728.691983,12934
Greenfield,Monterey,82,44,63569,77934,4278832,251,27262,0.007,0.004,0.006,0,0.013,0.894,0.076,0.905,0.417,0.484,0.818,0.504,0.048,0.246,0.255,230300,1458,369,1173,2749,46506,12992,4.59,24.9,8143.925234,17428
Gridley,Butte,74,48,66711,93256,5275831,804,28060,0.002,0.014,0.031,0,0.024,0.473,0.455,0.489,0.231,0.505,0.424,0.692,0.145,0.122,0.227,158000,1303,303,769,15210,39583,17363,2.83,19.9,3181.642512,6586
Grover Beach,San Luis Obispo,72,49,76123,98641,5726205,424,36777,0.02,0.017,0.063,0.011,0.046,0.275,0.569,0.312,0.125,0.433,0.228,0.874,0.269,0.156,0.11,430200,1977,413,1200,7188,58895,30493,2.43,22.7,5905.194805,13641
Guadalupe,Santa Barbara,66,30,70455,86813,2782412,383,28083,0.001,0.018,0.033,0,0.018,0.845,0.085,0.864,0.327,0.532,0.697,0.589,0.083,0.182,0.188,210900,1408,330,1140,1878,41907,15638,3.75,21.2,5588.549618,7321
Gustine,Merced,62,18,54632,59371,1677797,295,36096,0.003,0.003,0.005,0,0.044,0.589,0.356,0.595,0.319,0.546,0.517,0.666,0.1,0.248,0.147,151900,1247,296,854,2468,37770,24689,2.9,26.2,3752.903226,5817
Half Moon Bay,San Mateo,42,17,99292,106529,3083003,251,73955,0.008,0.002,0.061,0.006,0.03,0.276,0.617,0.286,0.251,0.714,0.321,0.858,0.483,0.069,0.04,774000,2972,768,2032,14455,106211,64853,2.49,29.8,1977.725857,12697
Hanford,Kings,367,259,60368,81013,23642275,430,36277,0.047,0.007,0.045,0.001,0.041,0.473,0.387,0.527,0.145,0.544,0.35,0.822,0.182,0.114,0.197,174300,1411,394,934,13652,51231,23300,3.04,20.2,3348.22182,55547
Hawaiian Gardens,Los Angeles,181,54,66982,102689,6986051,482,27329,0.046,0.006,0.123,0.001,0.024,0.735,0.066,0.787,0.391,0.375,0.777,0.63,0.104,0.254,0.296,288200,1600,399,1160,4168,36026,13538,3.77,26.3,15234.73684,14473
Hawthorne,Los Angeles,393,219,92456,123418,33302354,383,32408,0.22,0.004,0.064,0.005,0.089,0.531,0.088,0.755,0.358,0.269,0.602,0.742,0.193,0.208,0.192,419600,2308,386,1068,16132,45089,21182,2.97,28.4,14478.78289,88031
Hayward,Alameda,943,724,115755,162707,135637434,877,41749,0.11,0.007,0.246,0.022,0.06,0.389,0.165,0.506,0.389,0.51,0.576,0.808,0.264,0.127,0.125,404500,2224,463,1417,11819,68138,27774,3.24,31.8,3506.994704,158937
Healdsburg,Sonoma,258,124,91541,113957,15683030,1350,52823,0.001,0.003,0.012,0.001,0.045,0.316,0.622,0.32,0.189,0.583,0.268,0.889,0.411,0.137,0.077,596700,2440,537,1445,19415,69709,41514,2.42,22.2,2651.793722,11827
Hemet,Riverside,310,235,77373,112470,34129162,412,34802,0.08,0.01,0.027,0.003,0.05,0.398,0.433,0.488,0.148,0.558,0.291,0.793,0.112,0.182,0.244,139400,1319,406,979,10432,35609,17751,2.78,33.3,3026.247756,84281
Hercules,Contra Costa,158,66,86756,110548,9399586,375,60013,0.18,0.002,0.467,0.001,0.072,0.13,0.147,0.312,0.354,0.789,0.469,0.926,0.433,0.084,0.051,422200,2388,670,1693,2738,103044,38133,3.06,40.7,4083.73591,25360
Hermosa Beach,Los Angeles,249,114,82551,100476,18445598,935,100804,0.013,0.009,0.047,0,0.042,0.078,0.812,0.1,0.098,0.473,0.097,0.991,0.735,0.048,0.046,1166800,NA,598,1963,8152,121345,87379,2.14,32.2,13838.46154,19789
Hesperia,San Bernardino,240,128,57092,70867,13515720,145,36364,0.054,0.018,0.016,0.002,0.028,0.534,0.349,0.606,0.167,0.616,0.325,0.762,0.096,0.16,0.248,172800,1319,352,1079,6685,46446,17037,3.53,36.4,1282.134063,93724
Hidden Hills,Los Angeles,4,4,83621,98364,418610,266,156250,0.054,0.018,0.016,0.002,0.028,0.534,0.349,0.606,0.167,0.616,0.325,0.762,0.096,0.16,0.248,172800,1319,352,1079,6685,46446,17037,3.53,36.4,1282.134063,93724
Highland,San Bernardino,50,28,67175,90020,3797086,69,38022,0.084,0.01,0.087,0,0.05,0.471,0.298,0.565,0.222,0.64,0.43,0.764,0.2,0.143,0.207,269000,1830,443,969,4337,53504,22307,3.51,25.6,2930.08,54939
Hillsborough,San Mateo,109,76,104770,142637,13110333,1158,151372,0.016,0.001,0.272,0,0.062,0.045,0.603,0.062,0.227,0.92,0.276,0.975,0.771,0.02,0.028,NA,NA,NA,2483,NA,216292,116164,3.05,28.1,1846.688207,11431
Hollister,San Benito,248,3,27302,28428,17005848,460,42212,0.008,0.01,0.023,0.002,0.051,0.644,0.263,0.662,0.223,0.588,0.447,0.746,0.15,0.135,0.119,365900,2144,534,1315,8815,71948,24102,3.54,32.6,5189.711934,37833
Holtville,Imperial,49,20,47353,56816,1420103,227,31563,0.003,0.02,0.012,0,0.027,0.74,0.198,0.763,0.314,0.559,0.739,0.579,0.132,0.102,0.325,150900,1254,346,716,1542,28115,13867,3.58,27.2,5595.652174,6435
Hughson,Stanislaus,36,13,53929,85616,1459273,203,54811,0.022,0.004,0.07,0.007,0.029,0.265,0.603,0.291,0.116,0.645,0.263,0.804,0.199,0.12,0.184,256300,1711,518,1125,3160,54352,26166,3.05,28.5,4075.274725,7417
Huntington Beach,Orange,1661,829,107786,148079,150198491,755,61774,0.012,0.004,0.113,0.004,0.045,0.192,0.63,0.208,0.165,0.584,0.225,0.923,0.419,0.103,0.09,659700,2651,568,1686,12868,85312,43863,2.62,28.6,7501.009346,200652
Huntington Park,Los Angeles,280,128,85472,112842,17740451,301,24190,0.006,0.003,0.007,0.003,0.01,0.957,0.015,0.966,0.483,0.255,0.94,0.427,0.061,0.272,0.289,322300,1754,403,961,10612,35629,12767,3.98,30.3,19561.12957,58879
Huron,Fresno,43,15,43829,47566,1239521,181,26159,0,0,0,0,0.011,0.968,0.021,0.968,0.527,0.315,0.937,0.247,0.015,0.283,0.39,119100,998,385,663,2699,25321,10135,4.04,28.2,4365.408805,6941
Imperial,Imperial,117,57,59857,63357,4269975,257,53295,0.027,0.009,0.022,0.002,0.058,0.725,0.157,0.761,0.221,0.746,0.632,0.849,0.209,0.12,0.053,194200,1683,451,1233,5620,85503,24433,3.8,19.9,2935.665529,17203
Imperial Beach,San Diego,167,68,69080,84032,7805824,287,35292,0.033,0.008,0.084,0.007,0.072,0.486,0.311,0.527,0.215,0.308,0.482,0.812,0.169,0.181,0.195,380900,2023,390,1255,1689,48010,21239,2.96,26.7,6590.865385,27418
Indian Wells,Riverside,37,26,96636,133038,4458170,858,111987,0.012,0,0.058,0,0.015,0.028,0.887,0.04,0.147,0.859,0.119,0.945,0.559,0.043,0.049,667000,3173,1247,725,5619,96961,96234,1.87,27.3,373.2541899,5345
Indio,Riverside,289,192,88922,114607,27599371,323,33723,0.029,0.01,0.024,0.001,0.028,0.659,0.249,0.698,0.274,0.645,0.565,0.742,0.16,0.212,0.189,230300,1681,560,1055,10882,49551,22249,3.1,22.9,3032.488005,88488
Inglewood,Los Angeles,837,509,83551,153578,98181529,884,32486,0.417,0.006,0.013,0.003,0.036,0.489,0.036,0.912,0.282,0.347,0.509,0.734,0.189,0.21,0.207,355300,1922,434,1141,10972,44377,21013,2.98,30.5,12200,110654
Ione,Amador,49,15,70957,77440,1461957,207,49083,0.114,0.021,0.013,0.002,0.032,0.241,0.577,0.376,0.094,0.746,0.247,0.731,0.129,0.068,0.141,243100,1698,496,1067,1140,57423,14899,2.34,26.9,1473.165618,7027
Irvine,Orange,1800,741,97016,136152,123310514,499,82014,0.021,0.001,0.41,0.002,0.049,0.096,0.421,0.118,0.39,0.478,0.483,0.966,0.68,0.066,0.127,718800,2901,721,1997,18499,93823,45140,2.66,24.9,4025.442444,266122
Irwindale,Los Angeles,172,67,83069,113358,10375788,7866,38438,0.021,0.001,0.41,0.002,0.049,0.096,0.421,0.118,0.39,0.478,0.483,0.966,0.68,0.066,0.127,718800,2901,721,1997,18499,93823,45140,2.66,24.9,4025.442444,266122
Jackson,Amador,83,28,63585,90309,2984187,644,36654,0.021,0.001,0.41,0.002,0.049,0.096,0.421,0.118,0.39,0.478,0.483,0.966,0.68,0.066,0.127,718800,2901,721,1997,18499,93823,45140,2.66,24.9,4025.442444,266122
Jurupa Valley,Riverside,19,9,108320,114726,1186978,11,36629,0.028,0.013,0.028,0.003,0.036,0.666,0.226,0.707,0.264,0.635,0.566,0.687,0.107,0.216,0.178,270700,1654,468,1141,3942,58849,19236,3.92,31.5,NA,103541
Kerman,Fresno,117,53,59897,74385,4762569,330,29271,0,0.001,0.047,0,0.054,0.774,0.125,0.775,0.348,0.544,0.701,0.563,0.082,0.182,0.249,191100,1474,417,793,5133,42046,15555,3.79,23.4,4518.266254,14594
King City,Monterey,110,23,72332,86186,3130166,231,24370,0.009,0.004,0.014,0,0.021,0.879,0.074,0.892,0.495,0.446,0.859,0.432,0.044,0.279,0.254,216900,1440,409,995,12407,38766,14216,4.35,20.7,3602.337662,13869
Kingsburg,Fresno,135,38,67393,79611,4167867,355,45654,0.001,0.008,0.023,0,0.046,0.389,0.533,0.398,0.092,0.646,0.228,0.893,0.297,0.158,0.178,230100,1498,519,886,7592,61925,24603,3.01,23.9,4172.084806,11807
La Canada Flintridge,Los Angeles,47,25,90912,106674,3278805,160,102309,0.001,0.008,0.023,0,0.046,0.389,0.533,0.398,0.092,0.646,0.228,0.893,0.297,0.158,0.178,230100,1498,519,886,7592,61925,24603,3.01,23.9,4172.084806,11807
Lafayette,Contra Costa,118,33,93009,117916,5805547,228,135127,0.011,0.001,0.098,0,0.055,0.071,0.764,0.083,0.135,0.726,0.142,0.978,0.726,0.028,0.053,1127400,NA,777,1816,10395,142977,76726,2.67,30.8,1715.045992,26103
Laguna Beach,Orange,641,234,97720,128554,37791033,1628,100484,0.009,0.001,0.043,0.004,0.025,0.077,0.841,0.087,0.13,0.607,0.133,0.977,0.665,0.081,0.074,1390500,3830,816,2028,8729,100506,80303,2.13,27.5,2620.338983,23190
Laguna Hills,Orange,71,25,86214,105130,4315757,138,60636,0.019,0.007,0.144,0.004,0.045,0.207,0.575,0.233,0.269,0.697,0.333,0.913,0.467,0.107,0.08,628800,2618,708,1862,14625,92690,45139,2.97,24.7,4723.988006,31509
Laguna Niguel,Orange,191,56,81239,107689,7832810,120,79706,0.02,0.007,0.09,0.002,0.057,0.164,0.661,0.191,0.2,0.7,0.233,0.96,0.545,0.059,0.067,712000,2887,703,1908,19456,97894,52025,2.6,29.4,4405.124747,65328
Laguna Woods,Orange,15,6,81519,94730,845574,51,47434,0.006,0,0.161,0.001,0.01,0.046,0.776,0.052,0.314,0.759,0.252,0.95,0.425,0.084,0.108,228700,1567,803,1537,8134,39201,39339,1.45,25.8,5215.384615,16272
La Habra,Orange,526,250,68728,88057,28144540,456,41200,0.01,0.005,0.108,0.001,0.04,0.571,0.266,0.586,0.286,0.543,0.49,0.82,0.255,0.163,0.137,436200,2090,479,1353,14857,65799,27292,3.23,30.5,8366.892809,61664
La Habra Heights,Los Angeles,85,8,63258,81034,1592348,294,79526,0.001,0.001,0.255,0.005,0.016,0.166,0.556,0.168,0.252,0.936,0.37,0.943,0.478,0.096,0.035,893200,3567,758,2350,NA,110329,58862,2.95,36.9,878.4090909,5411
Lake Elsinore,Riverside,126,66,64651,83714,7191812,119,42404,0.043,0.003,0.042,0.006,0.069,0.503,0.335,0.549,0.215,0.62,0.395,0.79,0.167,0.142,0.15,259700,1866,534,1304,14196,63306,21191,3.75,44.1,1773.12897,64205
Lake Forest,Orange,204,56,85053,104090,8440208,104,62691,0.022,0.006,0.15,0.003,0.041,0.229,0.55,0.257,0.233,0.699,0.305,0.921,0.451,0.098,0.076,550600,2387,591,1777,13545,92415,39913,2.91,25.9,4671.156004,83240
Lakewood,Los Angeles,599,167,75641,91807,21794106,268,54444,0.069,0.005,0.172,0.016,0.056,0.325,0.357,0.399,0.221,0.717,0.345,0.888,0.284,0.102,0.075,445800,2174,397,1538,13663,82175,30730,3.12,29.2,8613.375796,81138
La Mesa,San Diego,381,216,89545,127863,31301944,529,46481,0.075,0.007,0.054,0.005,0.071,0.249,0.54,0.331,0.15,0.412,0.238,0.917,0.354,0.131,0.12,421200,2060,445,1312,18403,56693,31238,2.45,24.2,6602.202643,59948
La Mirada,Los Angeles,380,75,64354,96819,11073458,225,52373,0.02,0.003,0.192,0.002,0.052,0.397,0.332,0.42,0.238,0.772,0.431,0.891,0.298,0.101,0.072,448400,2186,446,1642,7997,81956,29856,3.19,31,6277.55102,49216
Lancaster,Los Angeles,735,228,73056,109477,32711002,204,38204,0.209,0.004,0.039,0.003,0.044,0.376,0.326,0.589,0.129,0.548,0.232,0.814,0.155,0.13,0.242,186000,1563,466,1085,9822,47684,19212,3.19,32.3,1698.19686,160106
La Palma,Orange,110,37,89903,102480,5796465,366,55000,0.057,0.007,0.456,0.008,0.034,0.168,0.27,0.232,0.33,0.679,0.421,0.916,0.419,0.16,0.074,602000,2416,503,1500,7432,83760,34615,3.17,29.2,8714.917127,15774
La Puente,Los Angeles,84,22,60717,82267,2870003,71,30884,0.011,0.006,0.106,0.002,0.026,0.818,0.032,0.835,0.408,0.568,0.799,0.613,0.104,0.227,0.172,343000,1731,383,1176,6054,57174,16897,4.44,30.9,11602.58621,40377
La Quinta,Riverside,146,56,71428,90217,7673035,192,50224,0.019,0,0.031,0,0.04,0.336,0.574,0.355,0.15,0.697,0.251,0.897,0.355,0.153,0.105,360900,1986,790,1381,16434,71338,41410,2.61,23.4,1166.173121,40956
Larkspur,Marin,104,37,78142,102434,7094189,578,90250,0.018,0.004,0.053,0.002,0.038,0.08,0.805,0.102,0.176,0.478,0.171,0.968,0.66,0.047,0.048,1117800,3895,873,1890,16584,91848,72206,2.05,29.7,4086.468647,12382
Lathrop,San Joaquin,104,61,74282,97375,7454359,366,42859,0.078,0.002,0.223,0.004,0.079,0.4,0.213,0.48,0.309,0.689,0.512,0.775,0.152,0.151,0.126,250400,1744,530,1602,9252,65699,19866,3.82,43.2,1006.520748,22073
La Verne,Los Angeles,346,152,106600,129503,22108427,689,53834,0.043,0.007,0.074,0.001,0.049,0.335,0.491,0.385,0.149,0.732,0.233,0.908,0.385,0.072,0.08,500300,2353,548,1407,11345,78385,36002,2.81,30.6,3842.111507,32389
Lawndale,Los Angeles,158,43,71721,74062,5111219,154,36350,0.089,0.004,0.095,0.012,0.084,0.578,0.137,0.671,0.369,0.334,0.632,0.733,0.168,0.228,0.156,401700,1993,459,1340,6291,51934,20809,3.37,26.1,16824.8731,33145
Lemon Grove,San Diego,79,44,90886,95537,5322324,201,39899,0.116,0.012,0.063,0.008,0.055,0.427,0.319,0.555,0.211,0.548,0.418,0.8,0.163,0.168,0.136,346400,1964,377,1188,15854,58694,23125,3.07,26.6,6922.680412,26860
Lemoore,Kings,173,100,50133,63033,8160868,324,31340,0.046,0.009,0.082,0.005,0.051,0.412,0.395,0.467,0.155,0.499,0.33,0.842,0.162,0.114,0.165,189100,1588,375,868,4200,50871,22413,2.97,21.6,3026.408451,25785
Lincoln,Placer,258,142,78798,95543,16244362,355,52442,0.016,0.005,0.065,0.004,0.035,0.19,0.685,0.211,0.131,0.772,0.19,0.93,0.344,0.089,0.085,363300,1982,607,1601,6037,76354,34442,2.66,29.2,2338.637494,47030
Lindsay,Tulare,169,43,47382,61108,4262544,326,26316,0.004,0.008,0.014,0,0.021,0.866,0.087,0.878,0.342,0.505,0.803,0.488,0.057,0.203,0.378,122300,1092,342,705,3337,30317,11192,3.68,23.7,5074.712644,13245
Live Oak,Sutter,86,16,51801,69656,2843048,334,31619,0.005,0.024,0.092,0,0.047,0.546,0.286,0.575,0.299,0.646,0.563,0.62,0.092,0.198,0.239,152000,1311,373,784,2408,41919,18095,3.49,27.7,4705.882353,8800
Livermore,Alameda,511,337,103996,142713,56415874,652,67608,0.012,0.003,0.1,0.004,0.06,0.2,0.621,0.215,0.162,0.7,0.211,0.913,0.408,0.068,0.054,595500,2675,555,1673,14506,104223,44899,2.8,31,3540.524434,89115
Livingston,Merced,134,46,58085,77032,4581131,334,27151,0.006,0.007,0.207,0,0.019,0.719,0.043,0.732,0.43,0.596,0.879,0.546,0.114,0.155,0.187,173100,1406,383,933,3973,55226,16050,4.1,20.3,3752.956989,13961
Lodi,San Joaquin,732,372,77453,109087,49297057,772,37365,0.009,0.004,0.082,0.004,0.107,0.325,0.469,0.338,0.196,0.54,0.354,0.799,0.192,0.146,0.165,252900,1653,426,1001,15396,51139,24267,2.82,23.5,4749.52241,64641
Loma Linda,San Bernardino,93,68,80991,91727,8538585,357,40417,0.11,0.003,0.255,0.001,0.038,0.256,0.337,0.369,0.315,0.329,0.432,0.897,0.471,0.121,0.201,291600,1884,539,1136,9344,51390,28952,2.64,21.9,3208.643617,24129
Lomita,Los Angeles,99,32,61591,77500,3607202,174,50332,0.036,0.004,0.147,0.002,0.085,0.312,0.414,0.352,0.216,0.45,0.333,0.88,0.295,0.168,0.131,532300,2199,485,1282,6818,61580,32360,2.56,25.6,10834.03141,20693
Lompoc,Santa Barbara,606,320,63847,85256,34134324,781,32431,0.053,0.016,0.034,0.005,0.078,0.495,0.32,0.564,0.202,0.436,0.398,0.763,0.13,0.166,0.202,250300,1645,389,990,8597,46728,20613,2.95,24.2,3768.275862,43712
Long Beach,Los Angeles,6296,3939,86025,115678,546173596,1162,41400,0.125,0.012,0.125,0.009,0.053,0.409,0.267,0.546,0.26,0.398,0.459,0.795,0.295,0.159,0.203,448800,2170,467,1150,8087,55151,27752,2.81,29.9,9348.379399,470130
Loomis,Placer,25,7,58768,89790,947111,141,55901,0.002,0.014,0.01,0,0.029,0.043,0.902,0.059,0.014,0.673,0.041,0.963,0.288,0.163,0.048,318600,1795,498,1451,12484,78099,39120,2.73,27.9,930.8115543,6767
Los Alamitos,Orange,180,48,97330,117134,7133126,611,61443,0.038,0.005,0.125,0.004,0.096,0.23,0.502,0.273,0.145,0.448,0.217,0.913,0.407,0.11,0.092,680100,2481,518,1644,14642,80926,36909,2.75,28.9,2873.08642,11636
Los Altos,Santa Clara,215,100,108506,132059,17628315,582,181794,0.002,0.001,0.273,0,0.057,0.033,0.634,0.036,0.254,0.832,0.293,0.986,0.809,0.017,0.033,NA,NA,1047,2611,NA,187656,96464,2.75,23.7,4708.936826,30561
Los Altos Hills,Santa Clara,41,19,84220,113673,2327785,277,193512,0.007,0,0.299,0.002,0.026,0.039,0.627,0.046,0.323,0.902,0.364,0.976,0.846,0.014,0.042,NA,NA,NA,1962,NA,243701,140161,2.68,24.3,966.0227273,8501
Los Angeles,Los Angeles,49485,33380,101907,114619,4332762310,1105,37672,0.088,0.007,0.114,0.002,0.035,0.476,0.279,0.571,0.378,0.366,0.598,0.759,0.325,0.204,0.215,496300,2464,632,1241,10409,51538,29878,2.83,30.5,8484.268248,3976322
