City,County,Employees,FTemployees,MedianPayK,MedianPayBenesK,TotalCompM,CompCostPerResidentK,MedianPrivatePayK,medianHomeK,medianMortgageK,medianNonMortK,medianRentK,retailK,medianIncomeK,perCapIncomeK,popdensityK,populationK,black,indian,asian,islander,mixed,latino,white,blackLatInd,foreign,homeownerRate,nonenglish,hsgrad,bachelors,noninsured,povertyRate,householdSize,commuteTime
Imperial Beach,San Diego,167,68,69.08,84.032,7.805824,0.287,35.292,380.9,2.023,0.39,1.255,1.689,48.01,21.239,6.590865385,27.418,0.033,0.008,0.084,0.007,0.072,0.486,0.311,0.527,0.215,0.308,0.482,0.812,0.169,0.181,0.195,2.96,26.7
Indian Wells,Riverside,37,26,96.636,133.038,4.45817,0.858,111.987,667,3.173,1.247,0.725,5.619,96.961,96.234,0.37325419,5.345,0.012,0,0.058,0,0.015,0.028,0.887,0.04,0.147,0.859,0.119,0.945,0.559,0.043,0.049,1.87,27.3
Indio,Riverside,289,192,88.922,114.607,27.599371,0.323,33.723,230.3,1.681,0.56,1.055,10.882,49.551,22.249,3.032488005,88.488,0.029,0.01,0.024,0.001,0.028,0.659,0.249,0.698,0.274,0.645,0.565,0.742,0.16,0.212,0.189,3.1,22.9
Inglewood,Los Angeles,837,509,83.551,153.578,98.181529,0.884,32.486,355.3,1.922,0.434,1.141,10.972,44.377,21.013,12.2,110.654,0.417,0.006,0.013,0.003,0.036,0.489,0.036,0.912,0.282,0.347,0.509,0.734,0.189,0.21,0.207,2.98,30.5
Ione,Amador,49,15,70.957,77.44,1.461957,0.207,49.083,243.1,1.698,0.496,1.067,1.14,57.423,14.899,1.473165618,7.027,0.114,0.021,0.013,0.002,0.032,0.241,0.577,0.376,0.094,0.746,0.247,0.731,0.129,0.068,0.141,2.34,26.9
Irvine,Orange,1800,741,97.016,136.152,123.310514,0.499,82.014,718.8,2.901,0.721,1.997,18.499,93.823,45.14,4.025442444,266.122,0.021,0.001,0.41,0.002,0.049,0.096,0.421,0.118,0.39,0.478,0.483,0.966,0.68,0.066,0.127,2.66,24.9
Irwindale,Los Angeles,172,67,83.069,113.358,10.375788,7.866,38.438,718.8,2.901,0.721,1.997,18.499,93.823,45.14,4.025442444,266.122,0.021,0.001,0.41,0.002,0.049,0.096,0.421,0.118,0.39,0.478,0.483,0.966,0.68,0.066,0.127,2.66,24.9
Jackson,Amador,83,28,63.585,90.309,2.984187,0.644,36.654,718.8,2.901,0.721,1.997,18.499,93.823,45.14,4.025442444,266.122,0.021,0.001,0.41,0.002,0.049,0.096,0.421,0.118,0.39,0.478,0.483,0.966,0.68,0.066,0.127,2.66,24.9
Jurupa Valley,Riverside,19,9,108.32,114.726,1.186978,0.011,36.629,270.7,1.654,0.468,1.141,3.942,58.849,19.236,NA,103.541,0.028,0.013,0.028,0.003,0.036,0.666,0.226,0.707,0.264,0.635,0.566,0.687,0.107,0.216,0.178,3.92,31.5
Kerman,Fresno,117,53,59.897,74.385,4.762569,0.33,29.271,191.1,1.474,0.417,0.793,5.133,42.046,15.555,4.518266254,14.594,0,0.001,0.047,0,0.054,0.774,0.125,0.775,0.348,0.544,0.701,0.563,0.082,0.182,0.249,3.79,23.4
King City,Monterey,110,23,72.332,86.186,3.130166,0.231,24.37,216.9,1.44,0.409,0.995,12.407,38.766,14.216,3.602337662,13.869,0.009,0.004,0.014,0,0.021,0.879,0.074,0.892,0.495,0.446,0.859,0.432,0.044,0.279,0.254,4.35,20.7
Kingsburg,Fresno,135,38,67.393,79.611,4.167867,0.355,45.654,230.1,1.498,0.519,0.886,7.592,61.925,24.603,4.172084806,11.807,0.001,0.008,0.023,0,0.046,0.389,0.533,0.398,0.092,0.646,0.228,0.893,0.297,0.158,0.178,3.01,23.9
La Canada Flintridge,Los Angeles,47,25,90.912,106.674,3.278805,0.16,102.309,230.1,1.498,0.519,0.886,7.592,61.925,24.603,4.172084806,11.807,0.001,0.008,0.023,0,0.046,0.389,0.533,0.398,0.092,0.646,0.228,0.893,0.297,0.158,0.178,3.01,23.9
Lafayette,Contra Costa,118,33,93.009,117.916,5.805547,0.228,135.127,1127.4,NA,0.777,1.816,10.395,142.977,76.726,1.715045992,26.103,0.011,0.001,0.098,0,0.055,0.071,0.764,0.083,0.135,0.726,0.142,0.978,0.726,0.028,0.053,2.67,30.8
Laguna Beach,Orange,641,234,97.72,128.554,37.791033,1.628,100.484,1390.5,3.83,0.816,2.028,8.729,100.506,80.303,2.620338983,23.19,0.009,0.001,0.043,0.004,0.025,0.077,0.841,0.087,0.13,0.607,0.133,0.977,0.665,0.081,0.074,2.13,27.5
Laguna Hills,Orange,71,25,86.214,105.13,4.315757,0.138,60.636,628.8,2.618,0.708,1.862,14.625,92.69,45.139,4.723988006,31.509,0.019,0.007,0.144,0.004,0.045,0.207,0.575,0.233,0.269,0.697,0.333,0.913,0.467,0.107,0.08,2.97,24.7
Laguna Niguel,Orange,191,56,81.239,107.689,7.83281,0.12,79.706,712,2.887,0.703,1.908,19.456,97.894,52.025,4.405124747,65.328,0.02,0.007,0.09,0.002,0.057,0.164,0.661,0.191,0.2,0.7,0.233,0.96,0.545,0.059,0.067,2.6,29.4
Laguna Woods,Orange,15,6,81.519,94.73,0.845574,0.051,47.434,228.7,1.567,0.803,1.537,8.134,39.201,39.339,5.215384615,16.272,0.006,0,0.161,0.001,0.01,0.046,0.776,0.052,0.314,0.759,0.252,0.95,0.425,0.084,0.108,1.45,25.8
La Habra,Orange,526,250,68.728,88.057,28.14454,0.456,41.2,436.2,2.09,0.479,1.353,14.857,65.799,27.292,8.366892809,61.664,0.01,0.005,0.108,0.001,0.04,0.571,0.266,0.586,0.286,0.543,0.49,0.82,0.255,0.163,0.137,3.23,30.5
La Habra Heights,Los Angeles,85,8,63.258,81.034,1.592348,0.294,79.526,893.2,3.567,0.758,2.35,NA,110.329,58.862,0.878409091,5.411,0.001,0.001,0.255,0.005,0.016,0.166,0.556,0.168,0.252,0.936,0.37,0.943,0.478,0.096,0.035,2.95,36.9
Lake Elsinore,Riverside,126,66,64.651,83.714,7.191812,0.119,42.404,259.7,1.866,0.534,1.304,14.196,63.306,21.191,1.77312897,64.205,0.043,0.003,0.042,0.006,0.069,0.503,0.335,0.549,0.215,0.62,0.395,0.79,0.167,0.142,0.15,3.75,44.1
Lake Forest,Orange,204,56,85.053,104.09,8.440208,0.104,62.691,550.6,2.387,0.591,1.777,13.545,92.415,39.913,4.671156004,83.24,0.022,0.006,0.15,0.003,0.041,0.229,0.55,0.257,0.233,0.699,0.305,0.921,0.451,0.098,0.076,2.91,25.9
Lakewood,Los Angeles,599,167,75.641,91.807,21.794106,0.268,54.444,445.8,2.174,0.397,1.538,13.663,82.175,30.73,8.613375796,81.138,0.069,0.005,0.172,0.016,0.056,0.325,0.357,0.399,0.221,0.717,0.345,0.888,0.284,0.102,0.075,3.12,29.2
La Mesa,San Diego,381,216,89.545,127.863,31.301944,0.529,46.481,421.2,2.06,0.445,1.312,18.403,56.693,31.238,6.602202643,59.948,0.075,0.007,0.054,0.005,0.071,0.249,0.54,0.331,0.15,0.412,0.238,0.917,0.354,0.131,0.12,2.45,24.2
La Mirada,Los Angeles,380,75,64.354,96.819,11.073458,0.225,52.373,448.4,2.186,0.446,1.642,7.997,81.956,29.856,6.27755102,49.216,0.02,0.003,0.192,0.002,0.052,0.397,0.332,0.42,0.238,0.772,0.431,0.891,0.298,0.101,0.072,3.19,31
Lancaster,Los Angeles,735,228,73.056,109.477,32.711002,0.204,38.204,186,1.563,0.466,1.085,9.822,47.684,19.212,1.69819686,160.106,0.209,0.004,0.039,0.003,0.044,0.376,0.326,0.589,0.129,0.548,0.232,0.814,0.155,0.13,0.242,3.19,32.3
La Palma,Orange,110,37,89.903,102.48,5.796465,0.366,55,602,2.416,0.503,1.5,7.432,83.76,34.615,8.714917127,15.774,0.057,0.007,0.456,0.008,0.034,0.168,0.27,0.232,0.33,0.679,0.421,0.916,0.419,0.16,0.074,3.17,29.2
La Puente,Los Angeles,84,22,60.717,82.267,2.870003,0.071,30.884,343,1.731,0.383,1.176,6.054,57.174,16.897,11.60258621,40.377,0.011,0.006,0.106,0.002,0.026,0.818,0.032,0.835,0.408,0.568,0.799,0.613,0.104,0.227,0.172,4.44,30.9
La Quinta,Riverside,146,56,71.428,90.217,7.673035,0.192,50.224,360.9,1.986,0.79,1.381,16.434,71.338,41.41,1.166173121,40.956,0.019,0,0.031,0,0.04,0.336,0.574,0.355,0.15,0.697,0.251,0.897,0.355,0.153,0.105,2.61,23.4
Larkspur,Marin,104,37,78.142,102.434,7.094189,0.578,90.25,1117.8,3.895,0.873,1.89,16.584,91.848,72.206,4.086468647,12.382,0.018,0.004,0.053,0.002,0.038,0.08,0.805,0.102,0.176,0.478,0.171,0.968,0.66,0.047,0.048,2.05,29.7
Lathrop,San Joaquin,104,61,74.282,97.375,7.454359,0.366,42.859,250.4,1.744,0.53,1.602,9.252,65.699,19.866,1.006520748,22.073,0.078,0.002,0.223,0.004,0.079,0.4,0.213,0.48,0.309,0.689,0.512,0.775,0.152,0.151,0.126,3.82,43.2
La Verne,Los Angeles,346,152,106.6,129.503,22.108427,0.689,53.834,500.3,2.353,0.548,1.407,11.345,78.385,36.002,3.842111507,32.389,0.043,0.007,0.074,0.001,0.049,0.335,0.491,0.385,0.149,0.732,0.233,0.908,0.385,0.072,0.08,2.81,30.6
Lawndale,Los Angeles,158,43,71.721,74.062,5.111219,0.154,36.35,401.7,1.993,0.459,1.34,6.291,51.934,20.809,16.8248731,33.145,0.089,0.004,0.095,0.012,0.084,0.578,0.137,0.671,0.369,0.334,0.632,0.733,0.168,0.228,0.156,3.37,26.1
Lemon Grove,San Diego,79,44,90.886,95.537,5.322324,0.201,39.899,346.4,1.964,0.377,1.188,15.854,58.694,23.125,6.922680412,26.86,0.116,0.012,0.063,0.008,0.055,0.427,0.319,0.555,0.211,0.548,0.418,0.8,0.163,0.168,0.136,3.07,26.6
Lemoore,Kings,173,100,50.133,63.033,8.160868,0.324,31.34,189.1,1.588,0.375,0.868,4.2,50.871,22.413,3.026408451,25.785,0.046,0.009,0.082,0.005,0.051,0.412,0.395,0.467,0.155,0.499,0.33,0.842,0.162,0.114,0.165,2.97,21.6
Lincoln,Placer,258,142,78.798,95.543,16.244362,0.355,52.442,363.3,1.982,0.607,1.601,6.037,76.354,34.442,2.338637494,47.03,0.016,0.005,0.065,0.004,0.035,0.19,0.685,0.211,0.131,0.772,0.19,0.93,0.344,0.089,0.085,2.66,29.2
Lindsay,Tulare,169,43,47.382,61.108,4.262544,0.326,26.316,122.3,1.092,0.342,0.705,3.337,30.317,11.192,5.074712644,13.245,0.004,0.008,0.014,0,0.021,0.866,0.087,0.878,0.342,0.505,0.803,0.488,0.057,0.203,0.378,3.68,23.7
Live Oak,Sutter,86,16,51.801,69.656,2.843048,0.334,31.619,152,1.311,0.373,0.784,2.408,41.919,18.095,4.705882353,8.8,0.005,0.024,0.092,0,0.047,0.546,0.286,0.575,0.299,0.646,0.563,0.62,0.092,0.198,0.239,3.49,27.7
Livermore,Alameda,511,337,103.996,142.713,56.415874,0.652,67.608,595.5,2.675,0.555,1.673,14.506,104.223,44.899,3.540524434,89.115,0.012,0.003,0.1,0.004,0.06,0.2,0.621,0.215,0.162,0.7,0.211,0.913,0.408,0.068,0.054,2.8,31
Livingston,Merced,134,46,58.085,77.032,4.581131,0.334,27.151,173.1,1.406,0.383,0.933,3.973,55.226,16.05,3.752956989,13.961,0.006,0.007,0.207,0,0.019,0.719,0.043,0.732,0.43,0.596,0.879,0.546,0.114,0.155,0.187,4.1,20.3
Lodi,San Joaquin,732,372,77.453,109.087,49.297057,0.772,37.365,252.9,1.653,0.426,1.001,15.396,51.139,24.267,4.74952241,64.641,0.009,0.004,0.082,0.004,0.107,0.325,0.469,0.338,0.196,0.54,0.354,0.799,0.192,0.146,0.165,2.82,23.5
