City,url,latestYear,YearsAvailable,County,summaryURL,Population,Employees,FTemployees,MedianPay,MedianPayBenes,TotalComp,CompCostPerResident,MedianPrivatePay
Clayton,https://transcal.s3.amazonaws.com/public/export/clayton-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Contra Costa,https://transparentcalifornia.com/salaries/2016/clayton/summary/,"11,655",48,19,"$85,170 ","$111,160 ","$2,629,434 ",$225 ,"$101,875 "
Clearlake,https://transcal.s3.amazonaws.com/public/export/clearlake-2016.csv,2016,"2016, 2015, 2014, 2013, 2012",Lake,https://transparentcalifornia.com/salaries/2016/clearlake/summary/,"15,070",67,38,"$74,300 ","$87,306 ","$4,000,718 ",$265 ,"$24,065 "
Cloverdale,https://transcal.s3.amazonaws.com/public/export/cloverdale-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Sonoma,https://transparentcalifornia.com/salaries/2016/cloverdale/summary/,"8,763",57,34,"$82,956 ","$113,477 ","$4,968,880 ",$567 ,"$41,923 "
Clovis,https://transcal.s3.amazonaws.com/public/export/clovis-2016.csv,2016,"2016, 2015, 2013, 2012",Fresno,https://transparentcalifornia.com/salaries/2016/clovis/summary/,"102,148",688,461,"$84,799 ","$110,187 ","$60,904,762 ",$596 ,"$49,806 "
Coachella,https://transcal.s3.amazonaws.com/public/export/coachella-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Riverside,https://transparentcalifornia.com/salaries/2016/coachella/summary/,"43,826",89,63,"$82,309 ","$95,583 ","$7,844,495 ",$178 ,"$25,967 "
Coalinga,https://transcal.s3.amazonaws.com/public/export/coalinga-2016.csv,2016,"2016, 2015, 2014",Fresno,https://transparentcalifornia.com/salaries/2016/coalinga/summary/,"16,609",131,72,"$59,778 ","$78,191 ","$7,051,242 ",$424 ,"$32,048 "
Colfax,https://transcal.s3.amazonaws.com/public/export/colfax-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Placer,https://transparentcalifornia.com/salaries/2016/colfax/summary/,"2,189",20,8,"$62,445 ","$77,197 ","$790,895 ",$361 ,"$44,010 "
Colma,https://transcal.s3.amazonaws.com/public/export/colma-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Mateo,https://transparentcalifornia.com/salaries/2016/colma/summary/,"1,540",75,33,"$111,571 ","$143,095 ","$5,746,578 ","$3,731 ","$56,250 "
Colton,https://transcal.s3.amazonaws.com/public/export/colton-2016.csv,2016,"2016, 2015, 2014, 2013",San Bernardino,https://transparentcalifornia.com/salaries/2016/colton/summary/,"53,856",434,254,"$85,319 ","$114,885 ","$35,411,973 ",$657 ,"$32,151 "
Colusa,https://transcal.s3.amazonaws.com/public/export/colusa-2016.csv,2016,"2016, 2015, 2014, 2013, 2012",Colusa,https://transparentcalifornia.com/salaries/2016/colusa/summary/,"5,935",65,33,"$61,499 ","$68,400 ","$2,705,197 ",$455 ,"$32,009 "
Commerce,https://transcal.s3.amazonaws.com/public/export/commerce-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/commerce/summary/,"12,997",499,238,"$61,072 ","$87,949 ","$25,617,331 ","$1,971 ","$30,265 "
Compton,https://transcal.s3.amazonaws.com/public/export/compton-2016.csv,2016,"2016, 2014, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/compton/summary/,"97,740",478,432,"$49,721 ","$82,294 ","$40,537,315 ",$414 ,"$27,591 "
Concord,https://transcal.s3.amazonaws.com/public/export/concord-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Contra Costa,https://transparentcalifornia.com/salaries/2016/concord/summary/,"126,938",674,345,"$108,265 ","$158,115 ","$60,631,425 ",$477 ,"$51,885 "
Corcoran,https://transcal.s3.amazonaws.com/public/export/corcoran-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Kings,https://transparentcalifornia.com/salaries/2016/corcoran/summary/,"22,917",86,59,"$50,061 ","$64,341 ","$4,863,913 ",$212 ,"$30,863 "
Corona,https://transcal.s3.amazonaws.com/public/export/corona-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Riverside,https://transparentcalifornia.com/salaries/2016/corona/summary/,"161,614",907,536,"$114,496 ","$165,603 ","$97,026,299 ",$600 ,"$46,350 "
Coronado,https://transcal.s3.amazonaws.com/public/export/coronado-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Diego,https://transparentcalifornia.com/salaries/2016/coronado/summary/,"24,852",692,211,"$82,499 ","$97,308 ","$25,856,821 ","$1,040 ","$77,304 "
Corte Madera,https://transcal.s3.amazonaws.com/public/export/corte madera-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Marin,https://transparentcalifornia.com/salaries/2016/corte-madera/summary/,"9,694",137,39,"$128,969 ","$156,983 ","$8,091,690 ",$834 ,"$103,250 "
Costa Mesa,https://transcal.s3.amazonaws.com/public/export/costa mesa-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Orange,https://transparentcalifornia.com/salaries/2016/costa-mesa/summary/,"112,439",774,380,"$118,317 ","$163,276 ","$77,577,585 ",$689 ,"$50,240 "
